vendorArticleNumber,vendorArticleName,material,productDetails,productType,amazonUrl,myntraUrl,nykaaUrl,wixUrl,imageUrl,price,category,category_url,json_ld
DL0058,"Vanchai 100% Natural Corn Husk Flower Real Dried & Pressed Flowers for Art Craft - DIY Set of 2, Home Decoration | Living Room | Gift | Modern Decoration Items | Sustainable Decor Items",,"FLOWERS MADE UP OF CORN HUSK Handmade flowers that are made from corn husk. Make into bouquets, table number holders, decorations. The blossoms measure 10"" wide and 5"" height. The flowers can be made into bouquets, used as table decorations, in gift wrapping. Naturally Dried Raw, cream, handmade flowers. | Color: off - white | Handmade flowers that are made from corn husk.,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/corn-husk-flower-set-of-2,,799.0,ARTIFICIAL_PLANT,,
DL0060,"Vanchai 100% Natural Dried Zinnia Sola Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft, Gift, Modern Decorations ? Set of 5",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,https://www.amazon.in/dp/B0CTCP6GJJ,https://www.myntra.com/artificial-flowers-and-plants/vanchai/vanchai-white-5-pieces-dried-artificial-flowers/37597102/buy,https://www.nykaafashion.com/vanchai-zinnia-sola-flower-pack-of-5-dried-flowers-vase-filler-for-home-decor/p/22866289,https://www.vanchai.in/product-page/zinnia-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0061,"Vanchai Natural Dried, Dried, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft ? Set of 5 (Sun Flower Sola (5pcs))",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,https://www.amazon.in/dp/B0CTCNK2WC?th=1,https://www.myntra.com/artificial-flowers-and-plants/vanchai/vanchai-white-5-pieces-artificial-flower/37597106/buy,,https://www.vanchai.in/product-page/sun-flower-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0062a,"Vanchai Natural Dried, Dried, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft ? Set of 5 (Almond Sola Flower (5pcs))",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,https://www.amazon.in/dp/B0CTCMTV7P?th=1,https://www.myntra.com/artificial-flowers-and-plants/vanchai/vanchai-white-5-pieces-artificial-flowers/37597109/buy,https://www.nykaafashion.com/vanchai-almond-sola-flower-pack-of-5-dried-flowers-vase-filler-for-home-decor/p/22866291,,,699.0,ARTIFICIAL_PLANT,,
DL0063aa,"Natural Dried Sola Flower, Dried Sola Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft - Set of 5 (Tree Peony Sola Flower (5sets))",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,https://www.amazon.in/dp/B0FC532144?th=1,https://www.myntra.com/artificial-flowers-and-plants/vanchai/vanchai-off-white-5-tree-peony-sola-dried-flower/37872648/buy,https://www.nykaafashion.com/vanchai-tree-peony-sola-flower-pack-of-5-dried-flowers-vase-filler-for-home-decor/p/22866292,,,699.0,ARTIFICIAL_PLANT,,
DL0065,"Vanchai Natural Dried Beli Sola Flower, Dried Beli Sola Flower, Beli Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft, Gift, Modern Decorations ? Set of 5",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/copy-of-carnation-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0066,"Vanchai Natural Dried, Dried, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft ? Set of 5 (Twisted Roses Sola Flower)",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/twist-roses-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0067,"Vanchai Natural Dried Paeonia Sola Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft, Gift, Modern Decorations ? Set of 5",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/paeonia-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0068,"Vanchai Natural Dried Rosa Grandiflora Sola Flower, Dried Rosa Grandiflora Sola Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft, Gift, Modern Decorations ? Set of 5",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/rosa-grandiflora-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0069,"Vanchai 100% Natural Dried Bourbon Rose Sola Flower, Dried Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY craft, GiFT, modern decorations, Eco Friendly Decorations - 5 pcs",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/bourbon-rose-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
